书名,信息,评分,评价数,金句
水浒传（全二册）,[明]施耐庵/人民文学出版社/1997-1/50.60元,8.6,40837人评价,风风火火闯九州
那些回不去的年少时光,桐华/江苏文艺出版社/2010-01/23.80元,8.4,41244人评价,所有你曾热爱却正在遗忘的人和事
西游记（全二册）,吴承恩/黄肃秋注释/人民文学出版社/2004-8/47.20元,8.8,39029人评价,取经之路就在脚下
富爸爸，穷爸爸,（美）罗伯特・T・清崎/杨君，杨明/世界图书出版公司/2000-09/18.80,8.2,42262人评价,人穷穷观念，人富钱生钱
悲惨世界（上中下）,[法]雨果/李丹/人民文学出版社/1992-6/66.00元,8.9,38473人评价,现实主义与浪漫主义的至高杰作
金锁记,张爱玲/哈尔滨出版社/2005-6/13.5元,8.5,40716人评价,曹七巧就像希克厉，一个扭曲的英雄
荆棘鸟,[澳]考琳·麦卡洛/曾胡/译林出版社/1998-7/28.00元,8.6,39476人评价,澳洲乱世情
狂人日记,鲁迅/京华出版社/2006-3/39.80元,8.7,38417人评价,中国现代文学史上第一篇真正的现代白话小说
最好的我们,八月长安/湖南文艺出版社/2013-8-5/55,8.8,38280人评价,耿耿余淮
飞鸟集,[印]罗宾德拉纳德·泰戈尔/徐翰林/哈尔滨出版社/2004-6/16.80元,8.9,38358人评价,淡泊，超脱
哭泣的骆驼,三毛/哈尔滨出版社/2003-6/15.80元,8.9,37647人评价,沙漠中寻常的生与死
我与地坛,史铁生/春风文艺出版社/2002-5/25.00元,9.0,36981人评价,这是你的罪孽与福祉
倚天屠龙记(共四册),金庸/三联书店/1999-04/47.00,8.6,38338人评价,不识张郎是张郎
史蒂夫·乔布斯传,[美]沃尔特·艾萨克森/管延圻/中信出版社/2011-10-24/68.00元,8.7,38213人评价,完美主义者的最高形态
一個人住第5年,高木直子/洪俞君/大田/2004-12-1/NT$220,8.4,39425人评价,独居生活之乐
瓦尔登湖,[美]梭罗/徐迟/上海译文出版社/2006-8/11.00元,8.4,39517人评价,另一种生活
鹿鼎记（全五册）,金庸/广州出版社花城出版社/2008-3/108.00元,8.8,37062人评价,武侠的解构，流氓的狂欢
海贼王,尾田荣一郎/董科/浙江人民美术出版社/2007-11/7.50元,9.5,33881人评价,热血，梦想，希望
寻路中国,[美]彼得·海斯勒/李雪顺/上海译文出版社/2011-1/33.00元,9.0,36065人评价,中国在路上，非虚构写作所能达到的高度
呼兰河传,萧红/百花文艺出版社/2005-01/19.00,8.9,36594人评价,萧红的童年往事
常识,梁文道/广西师范大学出版社/2009-1/38.00,8.1,40184人评价,献给这个常识稀缺的时代
时间简史,[英]史蒂芬·霍金/许明贤/湖南科学技术出版社/2010-4/45.00元,8.8,35996人评价,霍金与上帝的战争
伊豆的舞女,[日]川端康成/叶渭渠/广西师范大学出版社/2002-2/23.80元,8.2,38960人评价,静美又残酷，无限柔软的川端
长恨歌,王安忆/南海出版公司/2003-8/22.00元,8.2,39117人评价,现代上海史诗
东霓,笛安/长江文艺出版社/2010-7-1/26.80元,8.1,39609人评价,自毁而偏执的东霓
夏洛的网,[美]E.B.怀特/任溶溶/上海译文出版社/2004-5/17.00元,8.6,36614人评价,猪与蜘蛛
我的天才女友,[意]埃莱娜·费兰特/陈英/人民文学出版社/2017-1/42.00元,8.5,36850人评价,两个女人，50年的友谊和战争
你好，旧时光（上下）,八月长安/新世界出版社/2009-12/39.80元,8.7,35296人评价,原作名切题
时间旅行者的妻子,[美]奥德丽·尼芬格/夏金/人民文学出版社/2007-4/29.90元,8.1,38789人评价,在时间的缝隙中穿行，然后相遇
你一定爱读的极简欧洲史,约翰·赫斯特（JohnHirst）/席玉苹/广西师范大学出版社/2011-11-25/25.00元,8.2,38256人评价,欧洲，为什么老是抢第一？
红与黑,[法]司汤达/张冠尧/人民文学出版社/2002/20.00元,8.2,37946人评价,阴谋与爱情
失恋33天,鲍鲸鲸/中信出版社/2010-1/25.00元,8.1,38307人评价,失恋是一种病，痊愈之后百毒不侵
中国历代政治得失,钱穆/生活·读书·新知三联书店/2001/12.00元,9.2,32620人评价,一部简明的“中国政治制度史”
陆犯焉识,严歌苓/作家出版社/2011-10/35.00元,8.8,33738人评价,翻手为苍凉，覆手为繁华
人生,路遥/北京十月文艺出版社/2009-5/20.00元,8.4,35043人评价,如果你是高加林，你要如何选择？
历史深处的忧虑,林达/生活·读书·新知三联书店/1997-5/19.00元,9.0,32434人评价,窥见美国社会的一扇窗
一九八四·动物农场,[英]乔治·奥威尔/董乐山/上海译文出版社/2003-4/23.00元,9.3,31069人评价,一个预言和一个寓言，令人窒息的政治恐怖
自控力,[美]凯利·麦格尼格尔/王岑卉/文化发展出版社(原印刷工业出版社)/2012-8/39.80元,8.3,35108人评价,要么瘦，要么死
影响力,[美]罗伯特·西奥迪尼/陈叙/中国人民大学出版社/2006-5/45.00元,8.6,32916人评价,营销防骗指南
匆匆那年（上下）,九夜茴/东方出版社/2008-1/29.00,8.2,35066人评价,不悔梦归处只恨太匆匆
大地之灯,七堇年/长江文艺出版社/2007-1/22.00元,8.2,34911人评价,两代人的成长与救赎
变形记,[奥]卡夫卡/叶廷芳/浙江文艺出版社/2003-4/16.00元,8.4,33307人评价,格里高里清早醒来发现自己变成了甲虫
橙,安东尼/长江文艺出版社/2010-10/28.80元,8.2,34427人评价,定做一个刻着“不过如此”的章，盖在封面上
那些年，我们一起追的女孩,九把刀/花山文艺出版社/2007-1/20.00元,8.2,34454人评价,那些年错过的大雨
香水,[德]帕·聚斯金德/李清华/上海译文出版社/2005-5/20.00元,8.5,32577人评价,恋味癖谋杀案
冰与火之歌（卷一）,[美]乔治·R.R.马丁/谭光磊/重庆出版社/2005-5/68.00元,9.3,29445人评价,凛冬将至。无比宏大的世界观
世界尽头与冷酷仙境,[日]村上春树/林少华/上海译文出版社/2002-12/23.00元,8.6,32532人评价,交叉平行蒙太奇
江城,[美]彼得·海斯勒/李雪顺/上海译文出版社/2012-1/36.00元,9.0,29976人评价,外国人的寻路中国
看不见的城市,[意大利]伊塔洛·卡尔维诺/张宓/译林出版社/2006-8/16.00元,8.8,30839人评价,每一座城市都只在想象中耸立，又在描述中坍圮
人性的弱点全集,[美]戴尔·卡耐基/袁玲/中国发展出版社/2008-1/25.00元,8.2,32692人评价,西方世界最持久的人文畅销书
罗生门,[日]芥川龙之介/林少华/上海译文出版社/2008-7/12.00元,8.7,31116人评价,空
把时间当作朋友,李笑来/电子工业出版社/2009-6/32.00元,8.4,31958人评价,反成功学的成功学
阿狸·梦之城堡,hans/上海锦绣文章出版社/2009-1/36.80元,9.0,29674人评价,治愈
父与子全集,[德]埃·奥·卜劳恩绘/杨莹/中国工人出版社/2003-4/20.00元,9.2,28422人评价,空
未来简史,[以色列]尤瓦尔·赫拉利/林俊宏/中信出版集团/2017-2/68.00元,8.4,31024人评价,人类面临的新议题
项链,[法]莫泊桑/顾加琛等/河北教育出版社/2005-2/28.00元,8.4,31276人评价,空
